,proper_date,permit_date,owner_name,combined_address,contractor_name,type_of_work,int_sq_feet,int_valuation,currency_valuation,ApplicationPermitNumber,CommercialorResidential,TypeofWork,SiteNumber,SiteStreet,SiteStreetType,SiteStreetDirectional,SiteZip,Lot,Block,Subdivision,TotalSquareFeet,PlanCheckValuation,OwnerName,ContractorName,IssueDate,NumberOfUnits
0,2023-06-02,"Jun 02, 2023",Jorge Gonzales ,5140 Journal Center Blvd. NE,"Nieto Custom Builders Inc., Jorge Gonzales Architecture Design Studio",,730,100000.0,"$100,000.00",BP-2023-07984,Commercial,alterations,5140,JOURNAL CENTER,BLVD,NE,,2AD,0000,JOURNAL CENTER,730,100000,JORGE GONZALES - CU68275045,"NIETO CUSTOM BUILDERS, INC, JORGE GONZALES ARCHITECTURE DESIGN STUDIO",20230602,
1,2023-06-02,"Jun 02, 2023",Church'S Chicken,2937 San Mateo Blvd. NE,Electrical Products Co.,,0,2200.0,"$2,200.00",GP-2023-20256,Commercial,a commercial sign,2937,SAN MATEO,BLVD,NE,,A,1,BEL AIR,0,2200,CHURCH'S CHICKEN,ELECTRICAL PRODUCTS COMPANY,20230602,0
2,2023-06-02,"Jun 02, 2023",Ensemble Music New Mexico,912 3Rd St. NW,Positive Energy Solar,,0,34081.0,"$34,081.00",GP-2023-11656,Commercial,a roof mounted solar project,912,3RD,ST,NW,,20,4,HOMESTEAD & GARDENSPOT ADDN,0,34081,ENSEMBLE MUSIC NEW MEXICO,POSITIVE ENERGY SOLAR,20230602,0
3,2023-06-02,"Jun 02, 2023",Zia Energy Real Estate,3900 Singer Blvd. NE,Affordable Solar Group Llc,,0,354984.82,"$354,984.82",GP-2023-14018,Commercial,a roof mounted solar project,3900,SINGER,BLVD,NE,,6A1,0000,JEFFERSON COMMONS UNIT 2,0,354984.82,ZIA ENERGY REAL ESTATE,AFFORDABLE SOLAR GROUP LLC,20230602,0
4,2023-06-02,"Jun 02, 2023",Darby Miera ,10800 Golf Course Road NW,"Snyder Construction, LLC, Rba Architects",,5201,0.0,,BP-2023-21114,Commercial,a new building,10800,GOLF COURSE,RD,NW,,E1,0000,PARADISE HEIGHTS UNIT 1,5201,0,DARBY MIERA - CU150767900,"SNYDER CONSTRUCTION, LLC, RBA ARCHITECTS",20230602,6
5,2023-06-01,"Jun 01, 2023",Srdan Kalajdzic ,5410 Academy Road NE,Hart Design And Construction Inc.,,18492,1512500.0,"$1,512,500.00",BP-2023-07265,Commercial,alterations,5410,ACADEMY,RD,NE,,B,0000,NORTH ACADEMY BUSINESS PARK,18492,1512500,SRDAN KALAJDZIC - CU110891367,HART DESIGN AND CONSTRUCTION INC.,20230601,
6,2023-06-01,"Jun 01, 2023",Alejandro Del Moral,10050 Coors Blvd. NW,Superior Sign New Mexico,,0,25471.0,"$25,471.00",GP-2023-12460,Commercial,a commercial sign,10050,COORS,BLVD,NW,,C9,0000,COTTONWOOD MALL,0,25471,ALEJANDRO DEL MORAL,SUPERIOR SIGN NEW MEXICO,20230601,0
7,2023-06-01,"Jun 01, 2023",Alejandro Del Moral,4221 San Mateo Blvd. NE,Superior Sign New Mexico,,0,23933.73,"$23,933.73",GP-2023-12484,Commercial,a commercial sign,4221,SAN MATEO,BLVD,NE,,A/SELY PORTION OF,A,VISTA GRANDE ADDN UNIT 1,0,23933.73,ALEJANDRO DEL MORAL,SUPERIOR SIGN NEW MEXICO,20230601,0
8,2023-06-01,"Jun 01, 2023",Xavier Obando ,7902 Menaul Blvd. NE,Richardson & Richardson Inc.,,5289,0.0,,BP-2022-51057,Commercial,commercial renovation phase,7902,MENAUL,BLVD,NE,,1A,2,INEZ ADDN,5289,0,XAVIER OBANDO - CU161834728,RICHARDSON & RICHARDSON INC,20230601,
9,2023-06-01,"Jun 01, 2023",Alejandro Del Moral,780 Juan Tabo Blvd. NE,Superior Sign New Mexico,,0,15414.45,"$15,414.45",GP-2023-12467,Commercial,a commercial sign,780,JUAN TABO,BLVD,NE,,A,128,PRINCESS JEANNE PARK ADDN,0,15414.45,ALEJANDRO DEL MORAL,SUPERIOR SIGN NEW MEXICO,20230601,0
